lang,topic,commits_count,contrib_count,issue_count,stars_count
JavaScript,api,69,2,3,232
Java,android,162,6,419,7
Java,api,1896,50,328,752
C++,api,31,0,0,32
Java,android,311,22,180,8
Python,api,66,6,18,272
JavaScript,api,51,8,61,189
Python,security,40,0,8,373
JavaScript,api,26,0,0,32
Java,android,837,6,6,1
C++,android,181,11,55,3
Java,android,159,26,45,5
Python,machine-learning,86,8,1,809
JavaScript,api,11,3,0,63
JavaScript,api,59,6,23,5
Python,machine-learning,76,2,0,4
Java,android,258,6,0,12
Python,machine-learning,11,0,1,39
Java,android,381,4,13,2
Python,machine-learning,397,0,5,37
JavaScript,api,388,4,2,25
Python,api,687,4,16,511
Python,machine-learning,32,4,33,5
Python,api,416,7,1,37
Python,security,5675,202,104,6
Python,security,89,8,2,97
Python,api,125,4,4,61
Java,android,19,0,5,86
Python,machine-learning,25,0,2,22
C++,machine-learning,30,0,0,0
Java,android,311,16,28,302
JavaScript,api,31,0,12,42
Java,database,45,0,1,230
Python,api,12,2,3,22
JavaScript,database,154,11,11,3
JavaScript,api,63,4,8,186
Java,android,2,0,0,1
Python,machine-learning,4,0,1,46
Python,security,82,5,13,1
Java,android,19,2,0,80
Java,database,129,8,7,297
Python,machine-learning,3575,23,29,527
Python,machine-learning,785,17,57,1
Python,database,28,0,0,1
Python,machine-learning,4450,90,243,3
JavaScript,api,33,3,0,166
Java,machine-learning,3004,55,9,5
Java,database,210,0,1,29
JavaScript,api,38,0,1,18
Python,machine-learning,40,0,0,10
JavaScript,android,4,0,3,11
Python,machine-learning,962,30,5,8
Java,android,26,2,0,9
Python,machine-learning,66,2,0,8
JavaScript,api,189,5,4,382
JavaScript,api,109,8,16,732
Java,database,986,15,6,604
Python,machine-learning,646,5,1,1
Java,android,764,12,183,7
Java,database,120,2,0,62
Java,android,422,24,102,1
Java,android,103,6,15,1
Python,security,42,11,2,405
Python,machine-learning,9,0,0,7
Java,android,487,13,58,293
Python,machine-learning,488,9,17,530
JavaScript,api,50,3,4,122
JavaScript,api,317,2,0,199
Java,database,20923,135,211,4
Python,api,57,0,0,107
Java,android,1735,10,406,2
Python,machine-learning,123,14,11,976
Python,machine-learning,30,2,0,10
Python,security,37,4,2,251
Java,android,2627,10,32,238
JavaScript,api,1246,124,6,5
JavaScript,api,60,5,2,116
JavaScript,api,42,4,0,1
Java,security,61,2,0,1
Python,android,21,2,1,50
JavaScript,android,26,0,0,1
Python,android,1315,16,14,1
JavaScript,api,163,2,9,43
Java,android,2,0,0,3
Java,database,12,0,7,118
Python,database,4,0,0,49
Python,database,26,0,0,3
JavaScript,api,271,20,1,1
Python,machine-learning,16,2,0,51
JavaScript,api,31,3,4,76
Python,security,225,7,7,183
JavaScript,api,15,0,1,168
Python,machine-learning,64,4,4,844
JavaScript,api,252,0,0,19
JavaScript,api,46,0,0,18
JavaScript,api,28,2,0,2
Python,api,19413,193,195,15
Python,api,365,23,10,277
Python,api,139,0,1,29
Java,security,2922,4,0,23
JavaScript,security,24,3,2,187
Java,security,59,2,0,247
JavaScript,api,56,0,6,133
Java,security,13,0,3,215
Java,database,80,5,9,45
JavaScript,database,25,2,2,51
Java,android,283,19,1,563
Java,android,51,2,15,134
Python,machine-learning,199,8,2,582
JavaScript,api,123,0,13,9
JavaScript,api,38,3,3,10
JavaScript,android,23,2,3,169
Python,machine-learning,76,2,0,159
JavaScript,api,26,3,2,65
Python,machine-learning,89,4,13,2
Java,android,100,2,2,1
Java,android,107,3,4,2
JavaScript,android,141,0,0,2
JavaScript,api,65,16,22,3
Java,android,1812,0,0,0
JavaScript,api,221,5,2,206
JavaScript,api,514,39,5,442
Python,machine-learning,135,3,0,962
JavaScript,api,310,2,0,1
Python,api,336,17,10,75
C++,android,334,26,3,1
C++,android,37358,625,1,15
Java,android,3,3,0,5
JavaScript,api,53,2,2,148
JavaScript,android,51,10,11,3
Python,machine-learning,15,0,0,4
C++,machine-learning,33,3,13,1
JavaScript,api,130,3,0,26
JavaScript,api,77,0,0,48
JavaScript,database,431,13,19,712
Python,api,39,4,1,32
C++,machine-learning,1571,73,474,10
Java,android,387,7,91,1
Java,android,108,0,0,131
C++,api,283,48,18,2
JavaScript,security,52,0,0,13
Java,database,93,0,2,55
JavaScript,api,190,5,4,103
Java,android,599,26,0,33
Python,machine-learning,53,0,2,5
C++,android,252,18,60,4
Java,security,7,0,1,3
Python,api,169,7,2,31
JavaScript,api,12,0,0,35
Java,api,3699,77,34,1
Java,android,61,9,32,171
Python,api,192,0,4,122
JavaScript,api,90,5,0,42
Python,api,65,0,0,43
JavaScript,api,113,5,9,34
Python,database,135,4,0,7
Python,api,116,8,0,1
Java,security,12,3,1,154
Python,api,107,6,1,416
Java,android,263,7,141,2
Java,android,41,0,3,590
JavaScript,api,19,0,1,86
Java,android,131,6,3,1
Python,database,15,0,0,0
JavaScript,api,103,2,2,19
Python,api,71,4,6,38
Java,android,183,10,53,4
Java,android,33,0,0,10
Python,machine-learning,2330,148,287,5
Python,api,10,3,0,18
Python,api,1149,33,9,823
Python,machine-learning,2933,23,24,127
Java,android,42,3,3,75
Python,security,228,0,1,17
JavaScript,api,32,0,0,2
JavaScript,security,10,0,0,63
Python,security,36,5,3,498
Java,android,103,0,14,548
C++,security,12816,119,76,4
JavaScript,api,7,0,3,116
JavaScript,api,11,0,2,342
Python,security,8,0,0,0
Python,machine-learning,5,0,0,0
Java,security,49,6,1,344
Java,android,2167,84,146,18
Java,android,280,6,209,6
Python,machine-learning,216,4,1,1
Java,database,323,14,68,8
JavaScript,security,25,0,0,30
JavaScript,api,37,2,2,27
Python,android,20,0,0,9
JavaScript,api,75,2,0,8
Python,machine-learning,21,0,0,6
Java,android,28,3,1,2
Java,android,13,2,3,67
Python,machine-learning,122,9,0,61
Python,machine-learning,37,4,75,1
JavaScript,api,28,0,0,53
Java,android,103,8,20,2
JavaScript,api,35,11,2,729
JavaScript,api,23,6,7,570
JavaScript,api,50,2,1,5
JavaScript,android,445,7,32,647
Python,database,75,8,4,159
Python,api,220,8,0,310
JavaScript,android,1196,51,237,2
Python,api,945,16,82,1
C++,database,465,32,66,1
Java,android,345,19,23,263
JavaScript,api,59,0,0,19
Python,api,356,2,0,150
Python,api,30,3,0,146
JavaScript,security,3818,58,290,10
Python,machine-learning,50,0,0,6
Python,machine-learning,235,5,8,573
Python,api,3535,26,238,63
Python,machine-learning,302,8,9,1
C++,machine-learning,4156,269,887,32
JavaScript,api,15,2,0,325
JavaScript,database,92,2,3,28
JavaScript,database,2541,2,7,60
Python,database,64,0,0,0
Python,database,220,23,0,125
C++,android,1587,29,59,1
Python,api,14,2,1,170
Python,machine-learning,237,4,0,406
